ResourceGroup;Name;Nodes;Size;Tier;File
Default-SQL-SouthCentralUS;WebFlowersPA;2;Standard_A1_v2;Standard;WebFlowersPAresults.json
Default-Storage-SouthCentralUS;WebflowersIC;2;Standard_A1_v2;Standard;WebflowersICresults.json
WebFlowersAL;WebFlowersAL;2;Standard_A1_v2;Standard;WebFlowersALresults.json
WebFlowersBGSales;WebFlowersBGSales;2;Standard_A1_v2;Standard;WebFlowersBGSalesresults.json
WebFlowersBQC;WebFlowersBQC;2;Standard_A1_v2;Standard;WebFlowersBQCresults.json
WebFlowersCA;WebFlowersCA;2;Standard_A1_v2;Standard;WebFlowersCAresults.json
WebFlowersCH;WebFlowersCH;2;Standard_A1_v2;Standard;WebFlowersCHresults.json
WebFlowersCP;WebFlowersCP;2;Standard_A1_v2;Standard;WebFlowersCPresults.json
WebFlowersCQ;WebFlowersCQ;2;Standard_A1_v2;Standard;WebFlowersCQresults.json
WebFlowersDCCNM;WebFlowersDCCNM;2;Standard_A1_v2;Standard;WebFlowersDCCNMresults.json
WebFlowersDCNM;WebFlowersDCNM;2;Standard_A1_v2;Standard;WebFlowersDCNMresults.json
WebFlowersDPANM;WebFlowersDPANM;2;Standard_A1_v2;Standard;WebFlowersDPANMresults.json
WebFlowersER;WebFlowersER;2;Standard_A1_v2;Standard;WebFlowersERresults.json
WebFlowersFA;WebFlowersFA;2;Standard_A1_v2;Standard;WebFlowersFAresults.json
WebFlowersFD;WebFlowersFD;2;Standard_A1_v2;Standard;WebFlowersFDresults.json
WebFlowersFE;WebFlowersFE;2;Standard_A1_v2;Standard;WebFlowersFEresults.json
WebFlowersFG;WebFlowersFG;2;Standard_A1_v2;Standard;WebFlowersFGresults.json
WebFlowersFL;WebFlowersFL;2;Standard_A1_v2;Standard;WebFlowersFLresults.json
WebFlowersFV;WebFlowersFV;2;Standard_A1_v2;Standard;WebFlowersFVresults.json
webflowersfxsales;webflowersfxsales;2;Standard_A1_v2;Standard;webflowersfxsalesresults.json
WebFlowersGOSALES;WebFlowersGOSALES;2;Standard_A1_v2;Standard;WebFlowersGOSALESresults.json
WebFlowersGrChia;WebFlowersGrChia;2;Standard_A1_v2;Standard;WebFlowersGrChiaresults.json
WebFlowersHT;WebFlowersHT;2;Standard_A1_v2;Standard;WebFlowersHTresults.json
WebFlowersIB;WebFlowersIB;2;Standard_A1_v2;Standard;WebFlowersIBresults.json
WebFlowersJA;WebFlowersJA;2;Standard_A1_v2;Standard;WebFlowersJAresults.json
WebFlowersJN;WebFlowersJN;2;Standard_A1_v2;Standard;WebFlowersJNresults.json
WebFlowersJP;WebFlowersJP;2;Standard_A1_v2;Standard;WebFlowersJPresults.json
WebFlowersJQ;WebFlowersJQ;2;Standard_A1_v2;Standard;WebFlowersJQresults.json
WebFlowersJU;WebFlowersJU;2;Standard_A1_v2;Standard;WebFlowersJUresults.json
WebFlowersLA;WebFlowersLA;2;Standard_A1_v2;Standard;WebFlowersLAresults.json
WebFlowersLC;WebFlowersLC;2;Standard_A1_v2;Standard;WebFlowersLCresults.json
WebFlowersLM;WebFlowersLM;2;Standard_A1_v2;Standard;WebFlowersLMresults.json
WebFlowersLogistic;WebFlowersLogisticServices;2;Standard_A1_v2;Standard;WebFlowersLogisticServicesresults.json
WebFlowersLV;WebFlowersLV;2;Standard_A1_v2;Standard;WebFlowersLVresults.json
WebFlowersMG;WebFlowersMG;1;Standard_A1_v2;Standard;WebFlowersMGresults.json
WebFlowersML;WebFlowersML;2;Standard_A1_v2;Standard;WebFlowersMLresults.json
WebFlowersMO;WebFlowersMO;2;Standard_A1_v2;Standard;WebFlowersMOresults.json
WebFlowersOL;WebFlowersOL;2;Standard_A1_v2;Standard;WebFlowersOLresults.json
WebFlowersPL;WebFlowersPL;2;Standard_A1_v2;Standard;WebFlowersPLresults.json
webflowersproductcentral;webflowersproductcentral;2;Standard_A1_v2;Standard;webflowersproductcentralresults.json
WebFlowersQA;WebFlowersQA;2;Standard_A1_v2;Standard;WebFlowersQAresults.json
WebFlowersQF;WebFlowersQF;2;Standard_A1_v2;Standard;WebFlowersQFresults.json
WebFlowersQueensSales;WebFlowersQueensSales;2;Standard_A1_v2;Standard;WebFlowersQueensSalesresults.json
WebFlowersRF;WebFlowersRF;2;Standard_A1_v2;Standard;WebFlowersRFresults.json
WebFlowersRQ;WebFlowersRQ;2;Standard_A1_v2;Standard;WebFlowersRQresults.json
WebFlowersSB;WebFlowersSB;2;Standard_A1_v2;Standard;WebFlowersSBresults.json
WebFlowersSC;WebFlowersSC;2;Standard_A1_v2;Standard;WebFlowersSCresults.json
WebFlowersSN;WebFlowersSN;2;Standard_A1_v2;Standard;WebFlowersSNresults.json
WebFlowersSZ;WebFlowersSZ;2;Standard_A1_v2;Standard;WebFlowersSZresults.json
WebFlowersTN;WebFlowersTN;2;Standard_A1_v2;Standard;WebFlowersTNresults.json
WebFlowersTR;WebFlowersTR;2;Standard_A1_v2;Standard;WebFlowersTRresults.json
WebFlowersUB;WebFlowersUB;2;Standard_A1_v2;Standard;WebFlowersUBresults.json
webflowersVL;webflowersVL;2;Standard_A1_v2;Standard;webflowersVLresults.json
